1,355776.180,4611015.011,691.055,E I
2,355773.203,4611028.546,691.055,E
3,355761.305,4611083.365,691.055,E
4,355767.050,4611086.462,691.055,A I
5,355774.447,4611083.001,691.055,M I
6,355769.692,4611104.977,691.055,M
7,355763.294,4611103.572,691.055,A
8,355756.420,4611105.247,691.055,E
9,355781.359,4611129.076,691.055,TR RE
10,355782.355,4611131.314,691.055,TR RE
11,355788.919,4611128.392,691.055,TR RE
12,355766.146,4611121.294,691.055,M
13,355759.713,4611119.882,691.055,A
14,355750.443,4611133.259,691.055,E
15,355786.052,4611135.542,691.055,TC TEL
16,355786.849,4611136.145,691.055,TC TEL
17,355764.814,4611134.156,691.055,ARB
18,355783.215,4611143.179,691.055,TX 0.5 SAN
19,355761.943,4611140.629,691.055,M
20,355755.486,4611139.240,691.055,A
21,355754.037,4611145.893,691.055,A IC
22,355745.977,4611153.511,691.055,E
23,355755.345,4611150.953,691.055,A C
24,355758.897,4611153.511,691.055,A C
25,355857.822,4611072.233,691.055,E I
26,355857.822,4611095.993,691.055,E -14.1 15.5 5.75
27,355857.822,4611113.859,691.055,E
28,355857.822,4611139.645,691.055,E
29,355957.8216,4611072.233,691.055,E I
30,355957.8216,4611095.993,691.055,E 
31,355957.8216,4611113.859,691.055,E 
32,355957.8216,4611139.645,691.055,E 25 -2 10
32,355957.8216,4611155.645,691.055,E 
34,355870.822,4611085.993,691.055,R
35,355880.822,4611095.993,691.055,FA
36,355786.215,4611142.179,691.055,TX 0.5 RE
37,355772.399,4611115.427,690.123,TC SAN
38,355771.859,4611115.920,690.123,TC SAN
39,355777.343,4611115.432,690.123,TC RE
40,355777.836,4611115.972,690.123,TC RE
41,355775.912,4611115.025,690.123,TC TEL
42,355776.452,4611114.532,690.123,TC TEL
